timestamp,provider,host,min_latency,avg_latency,max_latency,packet_loss
2024-12-06 19:44:29,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,150,0
2024-12-06 19:44:38,DigitalOcean-SFO,137.184.230.42,mdev = 189,194,225,0
2024-12-06 19:44:47,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,179,0
2024-12-06 19:44:57,Hostinger-BR,177.71.10.118,mdev = 146,148,150,0
2024-12-06 19:45:06,Hostinger-US,156.67.72.1,mdev = 166,167,169,0
2024-12-06 19:50:15,DigitalOcean-NYC,147.182.172.189,mdev = 147,147,149,0
2024-12-06 19:50:24,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,193,0
2024-12-06 19:50:33,DigitalOcean-TOR,159.89.119.125,mdev = 175,177,178,0
2024-12-06 19:50:43,Hostinger-BR,177.71.10.118,mdev = 146,148,149,0
2024-12-06 19:50:52,Hostinger-US,156.67.72.1,mdev = 166,167,168,0
2024-12-06 19:56:01,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,148,0
2024-12-06 19:56:10,DigitalOcean-SFO,137.184.230.42,mdev = 189,190,192,0
2024-12-06 19:56:19,DigitalOcean-TOR,159.89.119.125,mdev = 174,179,183,0
2024-12-06 19:56:29,Hostinger-BR,177.71.10.118,mdev = 146,148,149,0
2024-12-06 19:56:38,Hostinger-US,156.67.72.1,mdev = 159,166,168,0
2024-12-06 20:01:47,DigitalOcean-NYC,147.182.172.189,mdev = 145,147,149,0
2024-12-06 20:01:56,DigitalOcean-SFO,137.184.230.42,mdev = 189,192,204,0
2024-12-06 20:02:05,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,179,0
2024-12-06 20:02:15,Hostinger-BR,177.71.10.118,mdev = 143,148,149,0
2024-12-06 20:02:24,Hostinger-US,156.67.72.1,mdev = 166,167,168,0
2024-12-06 20:07:33,DigitalOcean-NYC,147.182.172.189,mdev = 142,147,149,0
2024-12-06 20:07:42,DigitalOcean-SFO,137.184.230.42,mdev = 183,190,193,0
2024-12-06 20:07:51,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,178,0
2024-12-06 20:08:01,Hostinger-BR,177.71.10.118,mdev = 147,149,154,0
2024-12-06 20:08:10,Hostinger-US,156.67.72.1,mdev = 165,167,168,0
2024-12-06 20:13:19,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,148,0
2024-12-06 20:13:28,DigitalOcean-SFO,137.184.230.42,mdev = 190,191,191,0
2024-12-06 20:13:37,DigitalOcean-TOR,159.89.119.125,mdev = 176,177,178,0
2024-12-06 20:13:47,Hostinger-BR,177.71.10.118,mdev = 147,148,149,0
2024-12-06 20:13:56,Hostinger-US,156.67.72.1,mdev = 166,168,176,0
2024-12-06 20:19:05,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,148,0
2024-12-06 20:19:14,DigitalOcean-SFO,137.184.230.42,mdev = 189,191,192,0
2024-12-06 20:19:23,DigitalOcean-TOR,159.89.119.125,mdev = 175,177,179,0
2024-12-06 20:19:33,Hostinger-BR,177.71.10.118,mdev = 148,149,157,0
2024-12-06 20:19:42,Hostinger-US,156.67.72.1,mdev = 165,167,168,0
2024-12-06 20:24:51,DigitalOcean-NYC,147.182.172.189,mdev = 146,147,149,0
